Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations	S1Mutations	S2Mutations	S3Mutations
10.013690	71	0	2013	1	1045	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	104	41	46	18
10.013690	72	0	2045	53	1978	3	72	72	218	1	1.282841	0.000088	0.000000	0.574219	2	0	126	60	37	31
10.013690	73	0	1436	6	1425	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	145	63	55	30
10.013690	74	0	1954	1	1713	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	142	56	52	35
10.013690	75	0	2046	30	1517	6	72	72	218	1	1.519968	0.000088	0.000000	0.574219	4	0	132	59	45	32
10.013690	76	0	1919	3	1684	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	104	44	36	25
10.013690	77	0	854	6	725	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	112	50	43	22
10.013690	78	0	1327	1	961	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	97	34	43	21
10.013690	79	0	1908	9	1861	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	159	68	61	32
10.013690	80	0	1505	9	1402	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	144	60	57	29
10.013690	81	0	1990	9	1458	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	155	64	64	29
10.013690	82	0	1867	9	1642	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	154	66	63	27
10.013690	83	0	1681	1	1494	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	149	58	60	32
10.013690	84	0	1695	26	722	9	72	72	218	1	1.684611	0.000088	0.000000	0.574219	3	0	124	52	53	22
10.013690	85	0	1652	3	1648	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	125	54	41	31
10.013690	86	0	1977	6	1028	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	121	50	48	26
10.013690	87	0	1836	1	1467	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	130	52	51	28
10.013690	88	0	1706	9	1443	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	144	56	62	28
10.013690	89	0	1628	6	1357	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	137	55	53	32
10.013690	90	0	1483	9	1315	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	158	64	64	32
10.013690	91	0	2025	38	1958	9	72	72	218	1	1.772483	0.000088	0.000000	0.574219	3	0	150	64	61	28
10.013690	92	0	2094	1	2040	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	135	50	57	29
10.013690	93	0	1889	4	1831	3	72	72	218	1	1.362411	0.000088	0.000000	0.574219	2	0	139	49	56	36
10.013690	94	0	2069	3	1764	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	139	58	46	36
10.013690	95	0	2104	1	1951	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	134	53	53	29
10.013690	96	0	1660	53	1547	3	72	72	218	1	1.282841	0.000088	0.000000	0.574219	2	0	112	55	33	26
10.013690	97	0	1662	9	1567	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	151	65	63	25
10.013690	98	0	1860	9	1807	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	147	67	55	27
10.013690	99	0	1837	1	1467	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	127	49	50	29
10.013690	100	0	2107	9	1878	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	156	65	60	33
10.013690	101	0	1881	30	1822	6	72	72	218	1	1.519968	0.000088	0.000000	0.574219	4	0	131	58	49	28
10.013690	102	0	2095	1	2040	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	136	51	58	28
10.013690	103	0	1473	3	1296	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	104	47	31	27
10.013690	104	0	1821	3	1647	0	72	72	218	1	1.262540	0.000088	0.000000	0.574219	1	0	111	48	38	26
10.013690	105	0	1986	32	1960	1	72	72	218	1	1.550333	0.000088	0.000000	0.574219	2	0	156	57	71	30
10.013690	106	0	1879	82	1771	9	72	72	218	1	1.600773	0.000088	0.000000	0.574219	3	0	156	66	62	31
10.013690	107	0	1843	6	1570	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	130	55	50	28
10.013690	108	0	2004	6	1424	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	149	66	56	30
10.013690	109	0	1039	1	957	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	134	49	52	34
10.013690	110	0	1970	1	1779	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	114	43	49	23
10.013690	111	0	1793	1	1598	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	114	42	45	28
10.013690	112	0	1212	4	808	3	72	72	218	1	1.362411	0.000088	0.000000	0.574219	2	0	116	43	42	33
10.013690	113	0	1607	9	1342	1	72	72	218	1	1.589032	0.000088	0.000000	0.574219	2	0	148	61	59	30
10.013690	114	0	2035	1	1973	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	130	58	50	23
10.013690	115	0	1782	1	1354	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	109	46	52	12
10.013690	116	0	995	1	830	0	72	72	218	1	1.426829	0.000088	0.000000	0.574219	1	0	126	47	55	25
10.013690	117	0	1957	6	1717	4	72	72	218	1	1.407952	0.000088	0.000000	0.574219	3	0	150	63	55	35
