Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	S1Mutations	S2Mutations	S3Mutations	BirthRate	MigrationRate	OriginTime	Descendants
0	21421	21656	628	7	0	1	448	173	161	121	4.674664	0.000088	19.714298	2
1	21421	21657	974	8	0	0	448	171	161	124	5.015333	0.000088	19.714298	1
1	22822	22845	799	10	0	0	474	167	183	134	5.409605	0.000088	19.971535	1
0	21214	21663	805	10	0	1	464	188	164	122	3.520433	0.000088	19.715502	1
1	21199	21665	628	7	0	0	432	159	158	122	4.674664	0.000088	19.716057	1
0	21601	21667	725	9	0	1	434	160	160	123	5.123222	0.000088	19.717407	1
0	21130	21669	916	8	0	1	428	161	154	121	4.701440	0.000088	19.717558	3
0	21617	21670	884	8	0	1	428	173	157	106	4.687037	0.000088	19.717655	2
0	21617	21671	884	8	0	1	430	177	156	105	4.687037	0.000088	19.717655	1
1	21431	21673	852	10	0	0	430	168	155	117	3.514890	0.000088	19.718166	1
0	21144	21694	849	9	0	1	433	173	154	115	3.747409	0.000088	19.722816	2
1	22040	22579	930	13	0	0	550	225	192	146	5.234832	0.000088	19.912920	1
1	22669	22823	628	7	0	0	482	182	178	129	4.674664	0.000088	19.968048	1
0	21055	21681	628	7	0	1	459	180	162	124	4.674664	0.000088	19.720583	2
0	21620	21683	976	9	0	1	483	170	179	143	5.267804	0.000088	19.720625	3
0	21392	21685	790	10	0	1	435	181	159	105	3.919246	0.000088	19.720655	1
0	21586	21693	972	8	0	1	469	188	164	125	5.675150	0.000088	19.722622	2
0	21727	21960	628	7	0	1	463	190	162	118	4.674664	0.000088	19.777121	3
1	22382	22913	754	9	0	0	458	179	163	125	3.716587	0.000088	19.986879	1
0	22275	22279	628	7	0	1	443	163	162	125	4.674664	0.000088	19.847719	2
1	20710	21699	628	7	0	0	438	173	157	115	4.674664	0.000088	19.723410	1
0	21545	21703	946	8	0	1	438	165	156	125	4.738440	0.000088	19.723627	2
0	22272	22615	628	7	0	1	447	165	163	126	4.674664	0.000088	19.918789	5
0	21533	21707	948	10	0	1	469	187	174	118	3.788911	0.000088	19.724209	2
0	20778	21709	799	10	0	1	465	163	179	133	5.409605	0.000088	19.724895	2
1	21571	22943	964	9	0	0	430	163	154	122	4.801252	0.000088	19.989685	1
0	19364	21715	846	8	0	1	435	173	159	111	5.396563	0.000088	19.727112	2
1	18884	21717	977	5	0	0	323	134	117	77	1.738056	0.000088	19.728010	1
0	21321	21719	954	8	0	1	431	177	154	108	4.783589	0.000088	19.729063	2
0	21034	21721	628	7	0	1	483	191	183	116	4.674664	0.000088	19.729435	1
0	19516	21723	628	7	0	1	417	157	154	113	4.674664	0.000088	19.730127	2
1	21340	21832	643	8	0	0	431	170	169	100	3.046848	0.000088	19.753729	1
0	21456	21727	628	7	0	1	454	186	158	117	4.674664	0.000088	19.730553	3
0	22053	22100	995	11	0	1	472	166	173	144	5.473745	0.000088	19.807850	2
0	18914	22114	996	12	0	1	443	181	160	114	3.723419	0.000088	19.812281	2
0	18892	21735	673	9	0	1	437	175	155	116	3.413214	0.000088	19.731279	2
0	19267	21737	358	8	0	1	411	164	144	111	3.365728	0.000088	19.732122	1
0	20881	21739	932	10	0	1	432	158	164	120	5.793077	0.000088	19.732143	2
0	21151	21741	790	10	0	1	436	175	165	106	3.919246	0.000088	19.732437	1
1	21213	21743	805	10	0	0	464	188	163	123	3.520433	0.000088	19.733459	1
0	21065	21745	630	10	0	1	437	169	162	116	3.522344	0.000088	19.735233	1
0	22343	22366	789	8	0	1	449	167	171	119	5.121121	0.000088	19.868801	4
0	21418	22394	933	9	0	1	414	161	148	114	3.532435	0.000088	19.875322	1
1	22406	22643	858	9	0	0	469	185	169	124	5.425762	0.000088	19.924086	1
0	21723	21759	628	7	0	1	423	160	155	115	4.674664	0.000088	19.738127	2
0	21663	21761	805	10	0	1	470	190	166	124	3.520433	0.000088	19.738129	1
0	21389	21763	628	7	0	1	447	166	167	121	4.674664	0.000088	19.738420	2
1	22753	22993	730	7	0	0	406	152	169	92	2.996694	0.000088	19.998081	1
0	21660	21767	633	9	0	1	496	191	188	126	3.761056	0.000088	19.739672	1
0	21534	21769	628	7	0	1	490	197	179	121	4.674664	0.000088	19.740011	1
0	21621	21771	830	8	0	1	483	170	180	141	5.212936	0.000088	19.740149	7
0	21284	21773	961	11	0	1	481	197	176	119	6.137765	0.000088	19.740232	2
0	22605	22704	1006	10	0	1	487	205	174	118	5.309497	0.000088	19.937490	2
1	21720	21777	628	7	0	0	490	195	182	120	4.674664	0.000088	19.740314	1
0	21045	21890	628	7	0	1	438	160	162	123	4.674664	0.000088	19.761997	6
1	21694	22182	849	9	0	0	435	175	154	115	3.747409	0.000088	19.829071	1
1	21722	22390	628	7	0	0	417	155	156	113	4.674664	0.000088	19.874821	1
0	21470	21785	628	7	0	1	439	176	157	113	4.674664	0.000088	19.742275	1
0	21941	22024	628	7	0	1	464	177	164	130	4.674664	0.000088	19.791212	1
1	21634	21789	358	8	0	0	428	170	153	113	3.365728	0.000088	19.743183	1
0	21515	22010	963	8	0	1	467	179	167	129	4.681679	0.000088	19.787003	1
1	22878	22931	628	7	0	0	462	188	161	120	4.674664	0.000088	19.988483	1
0	21299	22060	960	9	0	1	425	159	154	121	5.180645	0.000088	19.796566	2
0	21587	21795	628	7	0	1	476	193	166	124	4.674664	0.000088	19.744413	1
0	21502	21797	799	10	0	1	467	164	181	132	5.409605	0.000088	19.744461	2
0	21658	21801	951	8	0	1	418	152	154	120	5.060031	0.000088	19.744949	2
0	21771	21803	830	8	0	1	488	171	181	144	5.212936	0.000088	19.745283	3
0	21951	22106	825	10	0	1	519	198	189	142	3.849407	0.000088	19.809248	3
1	21433	21807	958	6	0	0	316	114	124	84	3.003560	0.000088	19.745836	1
0	21724	22371	849	9	0	1	444	177	158	118	3.747409	0.000088	19.870045	2
0	21380	22299	858	9	0	1	477	191	171	124	5.425762	0.000088	19.852160	1
0	21541	21813	789	8	0	1	425	167	156	110	5.121121	0.000088	19.748529	2
0	20807	21815	799	10	0	1	465	164	170	141	5.409605	0.000088	19.750059	4
1	21847	22396	628	7	0	0	449	170	162	124	4.674664	0.000088	19.876265	1
0	20911	21821	628	7	0	1	454	174	162	125	4.674664	0.000088	19.751818	8
0	21579	21823	633	9	0	1	486	187	184	124	3.761056	0.000088	19.751928	2
0	21285	21939	725	9	0	1	439	166	157	125	5.123222	0.000088	19.771309	5
0	21764	21827	915	9	0	1	456	166	170	129	5.134372	0.000088	19.752073	2
0	21636	21829	628	7	0	1	487	185	179	130	4.674664	0.000088	19.752256	2
0	20005	21831	628	7	0	1	450	179	167	111	4.674664	0.000088	19.753139	2
1	21340	21833	643	8	0	0	429	170	169	98	3.046848	0.000088	19.753729	1
0	21766	21834	633	9	0	1	504	197	190	126	3.761056	0.000088	19.753750	4
0	21766	21835	633	9	0	1	501	195	189	126	3.761056	0.000088	19.753750	3
0	21773	21840	983	12	0	1	483	197	178	120	6.429047	0.000088	19.754778	2
0	21285	21940	725	9	0	1	435	165	154	125	5.123222	0.000088	19.771309	3
0	20055	21901	825	10	0	1	510	197	185	138	3.849407	0.000088	19.764740	2
0	21848	21952	628	7	0	1	446	169	160	124	4.674664	0.000088	19.774818	1
0	21046	21848	628	7	0	1	438	168	159	118	4.674664	0.000088	19.755650	2
1	21672	22603	852	10	0	0	436	171	157	118	3.514890	0.000088	19.916956	1
0	20846	22156	926	9	0	1	434	161	159	123	4.894081	0.000088	19.822815	4
0	21858	22110	956	8	0	1	435	161	162	120	4.792529	0.000088	19.810970	2
0	21251	21858	956	8	0	1	430	159	160	119	4.792529	0.000088	19.756281	8
0	21648	21860	628	7	0	1	465	176	169	127	4.674664	0.000088	19.756760	2
0	20724	21862	628	7	0	1	428	157	161	117	4.674664	0.000088	19.757029	2
0	22296	22529	628	7	0	1	465	177	167	128	4.674664	0.000088	19.902906	2
1	22768	22799	799	10	0	0	489	177	188	134	5.409605	0.000088	19.962381	1
1	21785	21868	628	7	0	0	442	176	160	113	4.674664	0.000088	19.757349	1
1	22035	22511	830	8	0	0	494	172	182	148	5.212936	0.000088	19.898409	1
1	22091	22499	830	8	0	0	493	171	182	148	5.212936	0.000088	19.895267	1
0	21503	21874	799	10	0	1	457	161	175	131	5.409605	0.000088	19.759022	2
0	22811	22817	628	7	0	1	456	169	166	128	4.674664	0.000088	19.965748	2
